id,name,type,sex,origin,genre,language,year,tracks,second year
19by,19 by Adele,2,NA,NA,12,1,2011,12,NA
21by,21 by Adele,2,NA,NA,1,1,2011,12,2012
KMag,24K Magic,2,NA,NA,7,1,2016,2017,9
AStr,A Strut,1,2,9,NA,NA,NA,NA,NA
Aali,Aalias,1,2,2,NA,NA,NA,NA,NA
AaronP,Aaron Pearce,1,2,NA,NA,NA,NA,NA,NA
AdRo,Ad-Rock,1,2,2,NA,NA,NA,NA,NA
AdCa,Adam Cayton,1,2,10,NA,NA,NA,NA,NA
AdamM,Adam Messinger,1,2,7,NA,NA,NA,NA,NA
Adel,Adele,1,1,1,NA,NA,NA,NA,NA
Adon,Adonis,1,2,2,NA,NA,NA,NA,NA
ADOR,ADORA,1,1,10,NA,NA,NA,NA,NA
Adri,Adrienne Anderson,1,1,2,NA,NA,NA,NA,NA
AJJu,AJ Junior,1,2,9,NA,NA,NA,NA,NA
AlanC,Alan Chang,1,2,2,NA,NA,NA,NA,NA
AlMa,Alan Merrill,1,2,2,NA,NA,NA,NA,NA
AlanP,Alan Parsons,1,2,1,NA,NA,NA,NA,NA
AlHa,Alana Haim,1,1,2,NA,NA,NA,NA,NA
Albe,Albert Winkler,1,2,NA,NA,NA,NA,NA,NA
Albi,Albin Nedler,1,2,9,NA,NA,NA,NA,NA
Alexda,Alex da Kid,1,2,1,NA,NA,NA,NA,NA
AlexDel,Alex Delicata,1,2,2,NA,NA,NA,NA,NA
AlexDez,Alex Dezen,1,2,2,NA,NA,NA,NA,NA
AlSa,Alex Salibian,1,2,2,NA,NA,NA,NA,NA
AlSo,Alex Sowinski,1,2,7,NA,NA,NA,NA,NA
Alexa,Alexander Gowers,1,2,NA,NA,NA,NA,NA,NA
AlPa,Ali Payami,1,2,10,NA,NA,NA,NA,NA
AlTa,Ali Tamposi,1,1,2,NA,NA,NA,NA,NA
AlLe,Alice and the Glass Lake,1,1,2,NA,NA,NA,NA,NA
AlKe,Alicia Keys,1,1,2,NA,NA,NA,NA,NA
Alja,Alja Jackson,1,1,NA,NA,NA,NA,NA,NA
AlKa,Allison Kaplan,1,1,2,NA,NA,NA,NA,NA
Amad,Amadeus,1,2,2,NA,NA,NA,NA,NA
AMcB,Amanda McBroom,1,1,2,NA,NA,NA,NA,NA
AmMa,Ammar Malik,1,2,2,NA,NA,NA,NA,NA
AmyF,Amy Foster-Gillies,1,1,7,NA,NA,NA,NA,NA
AmWa,Amy Wadge,1,1,1,NA,NA,NA,NA,NA
Andre3,André 3000,1,2,2,NA,NA,NA,NA,NA
AnBr,Andre Brown,1,2,2,NA,NA,NA,NA,NA
AndreL,Andre Lindal,1,2,10,NA,NA,NA,NA,NA
AndrewCa,Andrew Canton,1,2,2,NA,NA,NA,NA,NA
AndrewHa,Andrew Harr,1,2,2,NA,NA,NA,NA,NA
AnJa,Andrew Jackson,1,2,1,NA,NA,NA,NA,NA
AnTa,Andrew Taggart,1,2,2,NA,NA,NA,NA,NA
AndrewWy,Andrew Wyatt,1,2,2,NA,NA,NA,NA,NA
AnLo,Angel López,1,2,2,NA,NA,NA,NA,NA
AnWi,Anna Wise,1,1,2,NA,NA,NA,NA,NA
AnWe,Annika Wells,1,1,2,NA,NA,NA,NA,NA
Anth,Anthony Best,1,2,2,NA,NA,NA,NA,NA
AnAr,Antonina Armato,1,1,2,NA,NA,NA,NA,NA
Anto,Antonio Dixon,1,2,2,NA,NA,NA,NA,NA
AriL,Ari Levine,1,2,NA,NA,NA,NA,NA,NA
ArRe,Ariel Rechtshaid,1,2,2,NA,NA,NA,NA,NA
AshF,Ashton Foster,1,1,2,NA,NA,NA,NA,NA
Augu,August Rigo,1,2,7,NA,NA,NA,NA,NA
Avri,Avril Lavigne,1,1,7,NA,NA,NA,NA,NA
AyoT,Ayo The Producer,1,2,2,NA,NA,NA,NA,NA
B.o.B,B.o.B,1,2,2,NA,NA,NA,NA,NA
Babe,Babel by Mumford & Sons,2,NA,NA,14,1,2012,12,NA
Baby,Babyface,1,2,2,NA,NA,NA,NA,NA
Back,Backpack,1,2,2,NA,NA,NA,NA,NA
Bang,Bangladesh,1,2,2,NA,NA,NA,NA,NA
Bari,Baria Qureshi,1,1,1,NA,NA,NA,NA,NA
Bawh,Barry White,1,2,2,NA,NA,NA,NA,NA
Beat,BeatGeek,1,NA,NA,NA,NA,NA,NA,NA
BeTr,Beautiful Trauma by P!nk,2,NA,NA,1,1,2017,2018,13
Beko,Bēkon,1,2,2,NA,NA,NA,NA,NA
Beli,Believe by Justin Bieber,2,NA,NA,1,1,2012,13,NA
BenLo,Ben Lovett,1,2,1,NA,NA,NA,NA,NA
BenMa,Ben Maddahi,1,2,2,NA,NA,NA,NA,NA
BenWe,Ben West,1,2,2,NA,NA,NA,NA,NA
BePa,Benj Pasek,1,2,2,NA,NA,NA,NA,NA
BeAn,Benny Andersson,1,2,9,NA,NA,NA,NA,NA
bebl,benny blanco,1,2,2,NA,NA,NA,NA,NA
Berr,Berry Gordy,1,2,2,NA,NA,NA,NA,NA
Beyo,Beyoncé,1,1,2,NA,NA,NA,NA,NA
BigS,Big Sean,1,2,2,NA,NA,NA,NA,NA
BiCu,Bill Curtis,1,2,2,NA,NA,NA,NA,NA
BillyHa,Billy Hayes,1,2,2,NA,NA,NA,NA,NA
BillyMa,Billy Mann,1,2,2,NA,NA,NA,NA,NA
Bird,Birdman,1,2,2,NA,NA,NA,NA,NA
BjUl,Björn Ulvaeus,1,2,9,NA,NA,NA,NA,NA
blac,blackbear,1,2,2,NA,NA,NA,NA,NA
BluJ,Blu June,1,1,2,NA,NA,NA,NA,NA
Blue,Blue Bear,1,2,1,NA,NA,NA,NA,NA
BobDy,Bob Dylan,1,2,2,NA,NA,NA,NA,NA
BobRo,Bob Rock,1,2,7,NA,NA,NA,NA,NA
BoCh,Bobby Chung,1,2,10,NA,NA,NA,NA,NA
Bobc,Bobcat,1,2,2,NA,NA,NA,NA,NA
Boi1,Boi-1da,1,2,7,NA,NA,NA,NA,NA
BONN,BONN,1,2,9,NA,NA,NA,NA,NA
Bono,Bono,1,2,10,NA,NA,NA,NA,NA
BoLa,Boris Lanneau,1,2,5,NA,NA,NA,NA,NA
Bori,Boris Williams,1,2,5,NA,NA,NA,NA,NA
BornTh,Born This Way by Lady Gaga,2,NA,NA,1,1,2011,14,NA
BornTo,Born To Die by Lana Del Rey,2,NA,NA,1,1,2012,12,NA
Bran,"Brandon ""Blue"" Hamilton",1,2,2,NA,NA,NA,NA,NA
BrGr,Brendan Grieve,1,2,1,NA,NA,NA,NA,NA
BrianEn,Brian Eno,1,2,1,NA,NA,NA,NA,NA
BrianKe,Brian Kennedy,1,2,2,NA,NA,NA,NA,NA
BrianLe,Brian Lee,1,2,2,NA,NA,NA,NA,NA
BrKo,Brock Korsan,1,2,2,NA,NA,NA,NA,NA
BrBr,Brody Brown,1,2,2,NA,NA,NA,NA,NA
BrMa,Bruno Mars,1,2,2,NA,NA,NA,NA,NA
Buck,Buck Ram,1,2,2,NA,NA,NA,NA,NA
BunB,Bun B,1,2,2,NA,NA,NA,NA,NA
busb,busbee,1,2,2,NA,NA,NA,NA,NA
Bust,Busta Rhymes,1,2,2,NA,NA,NA,NA,NA
Butc,Butch Walker,1,2,2,NA,NA,NA,NA,NA
Calv,Calvin Harris,1,2,1,NA,NA,NA,NA,NA
Cam,Cam,1,1,2,NA,NA,NA,NA,NA
