from,to,weight,relation,participation,count
40,Beyo,1,1,1,1
40,View,3,1,7,12
Aali,Revi,1,1,1,1
Aali,TheM,1,1,1,1
AaronD,folk,3,1,5,9
AaronP,Unde,1,1,1,1
AaronR,ASta,1,1,3,3
Aboo,NosixC,1,3,1,1
Adam,View,1,1,1,1
AdamB,Pris,1,1,1,1
AdamM,Chan,1,1,1,1
AdamM,Unde,1,1,1,1
AdamM,Beli,1,1,1,2
AdCa,SoEx,7,2,7,13
AdCa,DAMN,1,3,1,1
Adel,21by,5,2,7,11
Adel,19by,5,2,7,11
Adel,25,7,2,7,11
ADNL,MAPOsev,1,1,1,1
Adon,Unde,1,1,1,1
ADOR,LYSA,1,1,3,4
ADOR,LYST,3,1,3,4
ADOR,MAPO,1,1,1,1
ADOR,MAPOsev,1,1,1,2
Adri,Mylo,1,1,1,1
AdRo,DAMN,1,1,1,1
AdRo,Revi,1,1,1,1
AdRo,TheM,1,1,1,1
AhnB,MAPOsev,1,1,1,1
Aion,View,1,1,1,1
AJJu,UpAl,1,1,1,1
AKJa,fivextwenty,1,1,1,2
Alan,Lemo,1,1,1,1
AlanC,ToBe,3,1,3,4
AlanC,Christ,1,1,1,2
AlanP,ThaC,1,1,1,1
Albe,DooW,1,1,1,1
Albi,Take,3,1,3,3
AlDa,Chan,1,1,1,1
Alex,MAPOsev,1,1,1,1
Alexa,Take,1,1,1,1
Alexda,Revi,1,1,3,3
Alexda,Loud,1,1,1,1
Alexda,Talk,1,1,1,1
Alexda,TheM,1,1,1,1
Alexda,Nigh,3,1,3,4
AlexDel,Lemo,1,1,1,1
AlexDel,Loud,1,1,1,1
AlexDez,Beli,1,1,1,1
Alexe,MAPOsev,1,1,1,1
AlHa,SoEx,1,1,1,1
Alic,Revi,1,3,1,1
AliK,Beau,1,1,1,1
AliP,1989,1,1,1,1
AliP,Fift,1,1,1,1
AliP,Beau,3,1,3,3
AliP,1989,1,1,1,1
AliP,repu,1,1,1,1
Alja,Talk,1,1,1,1
AlKa,LYSA,1,1,1,1
AlKe,Revi,1,3,1,1
Alle,View,1,1,1,1
Alli,MAPOsev,1,1,1,1
AlMa,Revi,1,1,1,1
AlSa,HaSt,5,1,5,8
AlSo,DAMN,1,1,1,1
AlTa,Futu,1,1,1,1
AlTa,Four,1,1,1,1
AlTa,LYSA,1,1,3,3
AlTa,LYST,1,1,1,1
Amad,Unde,1,1,1,1
Aman,Fift,1,1,1,1
AMcB,Revi,1,1,1,1
Amir,x,1,1,1,1
Amit,ArtP,1,1,1,1
Amma,divi,1,1,1,1
Amma,Made,1,1,1,1
Ammo,Beyo,1,1,1,1
AmyA,Fine,1,1,1,1
AmyFo,Merr,1,1,1,1
AmyFo,ToBe,1,1,1,1
AmyW,x,1,1,1,1
AmyW,divi,1,1,1,1
AmyW,x,1,1,1,1
AnAr,Revi,1,1,1,1
AnAr,BE,1,1,1,1
AnAr,MAPOsev,3,1,3,4
AnBr,Revi,1,1,1,1
Ande,fivextwenty,1,1,1,1
Ander,fivextwenty,1,1,1,1
Andr,fivextwenty,1,1,1,1
Andre3,Lemo,1,1,1,1
Andre3,NosixC,1,1,1,1
Andre3,ThaC,1,3,1,1
AndreL,Beli,1,1,1,1
AndrewCa,ThaC,1,1,1,1
AndrewF,Futu,1,1,1,1
AndrewH,Made,1,1,1,1
AndrewHa,Loud,1,1,1,2
AndrewT,View,1,1,1,1
AndrewTo,Nigh,1,1,1,2
AndrewWy,ASta,1,1,1,1
AndrewWy,DooW,1,1,1,1
AndrewWy,Unor,3,1,1,2
AngusY,Rock,7,2,7,11
AnJa,Huma,1,1,1,2
Anju,ArtP,1,1,1,1
AnLo,ToIA,1,1,1,1
Anne,View,1,1,1,1
AnTa,LYSA,1,1,1,1
Antho,Holl,1,1,1,1
AnthonyB,Talk,1,1,1,1
AnthonyF,View,1,1,1,1
AnthonyM,TheE,1,1,1,1
AnthonyR,ASta,1,1,1,1
AntonioD,Beli,1,1,1,1
AntonioR,Lemo,1,1,1,1
AnWe,LYSA,1,1,1,1
AnWe,LYST,1,1,1,1
AnWi,DAMN,1,1,1,1
Aoki,LYSA,1,3,1,1
Aoki,LYST,1,3,1,1
Aqua,View,1,1,1,1
Arab,TheM,1,1,1,1
ARAS,fivextwenty,1,2,1,2
Aria,Than,5,2,7,12
Aria,Purp,1,3,1,1
AriLe,DooW,5,1,7,10
AriLe,Unor,7,1,7,10
ArRe,Beli,1,1,1,1
ArRe,SoEx,1,1,1,1
Arst,BE,1,1,1,1
ArtNe,TheM,1,1,1,1
AshF,LYSA,1,1,3,4
AshleyB,Chan,1,1,3,3
AshleyJ,Chan,1,1,1,2
ASIL,fivextwenty,1,1,1,2
AStr,BeTr,1,1,1,1
Audi,MAPOsev,1,1,1,1
AUGU,Purp,1,1,1,1
Augus,UpAl,1,1,1,1
Augus,MAPOsev,1,1,3,3
Avey,Lemo,1,1,1,1
Avic,Ghos,1,1,1,1
Avri,Loud,1,1,1,1
Axel,View,1,1,1,1
AyoT,ThaC,1,1,1,1
Ayum,fivextwenty,1,1,1,1
