id,name_short,name,type,sex,origin,genre,language,year,tracks,second_year
40,40,40,1,2,7,99,99,99,99,99
divi,divi,÷ by Ed Sheeran,2,55,55,1,1,2017,12,2018
19by,19by,19 by Adele,2,55,55,12,1,2011,12,55
1989,1989,1989 by Taylor Swift,2,55,55,1,1,2014,13,2015
21by,21by,21 by Adele,2,55,55,1,1,2011,12,2012
KMag,KMag,24K Magic,2,55,55,7,1,2016,9,2017
25,25,25 by Adele,2,55,55,1,1,2015,11,2017
fiftyCe,fiftyCe,50 Cent,1,2,2,99,99,99,99,99
fivextwenty,fivextwenty,5x20 All the BEST!! 1999-2019 by ARASHI,2,55,55,14,6,2019,67,55
seventhA,seventhA,7th Avenue,1,99,99,99,99,99,99,99
Wonder,Wonder,9th Wonder,1,2,2,99,99,99,99,99
Aboo,Aboo,A Boogie wit da Hoodie,1,2,2,99,99,99,99,99
Ahea,Ahea,A head full of dreams by Coldplay,2,55,55,1,1,2015,12,2017
Apen,Apen,A Pentatonix Chrismas by Pentatonix,2,55,55,13,1,2016,11,55
ASta,ASta,A Star is Born OST by Lady Gaga & Bradley Cooper,2,55,55,1,1,2018,18,2019
AStr,AStr,A Strut,1,2,9,99,99,99,99,99
AKJa,AKJa,A.K.Janeway,1,99,99,99,99,99,99,99
Aali,Aali,Aalias,1,2,2,99,99,99,99,99
AaronD,AaronD,Aaron Dessner,1,2,2,99,99,99,99,99
AaronP,AaronP,Aaron Pearce,1,2,99,99,99,99,99,99
AaronR,AaronR,Aaron Raitiere,1,2,2,99,99,99,99,99
Abbe,Abbe,Abbey Road by The Beatles,2,55,55,4,1,2019,17,55
AdRo,AdRo,Ad-Rock,1,2,2,99,99,99,99,99
AdamB,AdamB,Adam Baptiste,1,2,9,99,99,99,99,99
AdCa,AdCa,Adam Cayton,1,2,10,99,99,99,99,99
Adam,Adam,Adam Martin,1,2,8,99,99,99,99,99
AdamM,AdamM,Adam Messinger,1,2,7,99,99,99,99,99
Adel,Adel,Adele,1,1,1,99,99,99,99,99
ADNL,ADNL,ADN Lewis,1,2,2,99,99,99,99,99
Adon,Adon,Adonis,1,2,2,99,99,99,99,99
ADOR,ADOR,ADORA,1,1,10,99,99,99,99,99
Adri,Adri,Adrienne Anderson,1,1,2,99,99,99,99,99
Afte,Afte,After Hours by The Weeknd,2,55,55,7,1,2020,14,55
AhnB,AhnB,Ahn Bok-jin,1,99,99,99,99,99,99,99
Aion,Aion,Aion Clarke,1,99,99,99,99,99,99,99
AJJu,AJJu,AJ Junior,1,2,9,99,99,99,99,99
AlDa,AlDa,Al Darwish,1,2,10,99,99,99,99,99
AlanC,AlanC,Alan Chang,1,2,2,99,99,99,99,99
Alan,Alan,Alan Lomax,1,99,99,99,99,99,99,99
AlMa,AlMa,Alan Merrill,1,2,2,99,99,99,99,99
AlanP,AlanP,Alan Parsons,1,2,1,99,99,99,99,99
AlHa,AlHa,Alana Haim,1,1,2,99,99,99,99,99
Albe,Albe,Albert Winkler,1,2,99,99,99,99,99,99
Albi,Albi,Albin Nedler,1,2,9,99,99,99,99,99
Alexda,Alexda,Alex da Kid,1,2,1,99,99,99,99,99
AlexDel,AlexDel,Alex Delicata,1,2,2,99,99,99,99,99
AlexDez,AlexDez,Alex Dezen,1,2,2,99,99,99,99,99
AlSa,AlSa,Alex Salibian,1,2,2,99,99,99,99,99
AlSo,AlSo,Alex Sowinski,1,2,7,99,99,99,99,99
Alexa,Alexa,Alexander Gowers,1,2,99,99,99,99,99,99
Alex,Alex,Alexander Karlsson,1,2,9,99,99,99,99,99
Alexe,Alexe,Alexej Viktorovitch,1,2,9,99,99,99,99,99
AliK,AliK,Ali Kocatepe,1,2,99,99,99,99,99,99
