id,name,type,sex,origin,genre,language,year,tracks,second year
5x20,5x20 All the BEST!! 1999-2019 by ARASHI,2,,,14,6,2019,67,
ARAS,ARASHI,1,2,10,,,,,
50Ce,50 Cent,1,2,2,,,,,
7thA,7th Avenue,1,,,,,,,
AKJa,A.K.Janeway,1,,,,,,,
AaronD,Aaron Dessner,1,2,2,,,,,
AaronR,Aaron Raitiere,1,2,2,,,,,
Abbe,Abbey Road by The Beatles,2,,,4,1,2019,17,
Aboo,A Boogie wit da Hoodie,1,2,2,,,,,
Adam,Adam Messinger,1,2,7,,,,,
ADNL,ADN Lewis,1,2,2,,,,,
ADOR,ADORA,1,1,10,,,,,
Afte,After Hours by The Weeknd,2,,,7,1,2020,14,
AhnB,Ahn Bok-jin,1,,,,,,,
AlDa,Al Darwish,1,2,10,,,,,
Alex,Alexander Karlsson,1,2,9,,,,,
Alexe,Alexej Viktorovitch,1,2,9,,,,,
AliT,Ali Tamposi,1,1,2,,,,,
Alli,Allie X,1,1,7,,,,,
AmyA,Amy Allen,1,1,2,,,,,
Ande,Anders Dannvik,1,2,9,,,,,
Ander,Anders Wikström,1,2,9,,,,,
Andr,Andreas Johansson,1,2,9,,,,,
Andre3,André 3000,1,2,2,,,,,
AndrewF,Andrew Farriss,1,2,10,,,,,
AndrewW,Andrew Wyatt,1,2,2,,,,,
Anth,Anthony Rossomando,1,2,2,,,,,
Antho,Anthoine Walters,1,NA ,,,,,,
Anto,Antonina Armato,1,1,2,,,,,
Aria,Ariana Grande,1,1,2,,,,,
Arst,Arston,1,2,10,,,,,
AshleyB,Ashley Boyd,1,,,,,,,
AshleyJ,Ashley Joi Sadler,1,1,,,,,,
ASIL,ASIL (JPN),1,,,,,,,
ASta,A Star is Born OST by Lady Gaga & Bradley Cooper,2,,,1,1,2018,18,2019
Audi,Audien,1,2,2,,,,,
Augu,August Rigo,1,2,7,,,,,
Ayum,Ayumi Miyazaki,1,2,10,,,,,
Bard,Bard McNamee,1,2,2,,,,,
BE,BE by BTS,2,,,11,6,2020,8,
Bell,Belly,1,2,10,,,,,
Beng,Bengy Gibson,1,2,2,,,,,
BenK,Ben Kohn,1,2,1,,,,,
benn,benny blanco,1,2,2,,,,,
Bern,Bernie Taupin,1,2,1,,,,,
BigB,Big Boi,1,2,2,,,,,
Bill,Billie Eilish,1,1,2,,,,,
Billy,Billy Walsh,1,2,2,,,,,
Bing,Bing Crosby,1,2,2,,,,,
BJKh,BJ Khan,1,,,,,,,
Bloo,BloodPop,1,2,2,,,,,
BluJ,Blu June,1,1,2,,,,,
Bobb,Bobby Chung,1,2,10,,,,,
Bohe,Bohemian Rhapsody: The Original Soundtrack by Queen,2,,,4,1,2018,21,2019
Boi1,Boi-1da,1,2,7,,,,,
Brad,Bradley Cooper,1,2,2,,,,,
Bram,Bram Inscore,1,2,2,,,,,
Bren,Brendon Urie,1,2,2,,,,,
BrianL,Brian Lee,1,2,2,,,,,
BrianM,Brian May,1,2,1,,,,,
BrianMa,Brian Malik Baptiste,1,2,2,,,,,
Brit,Brittany Coney,1,1,2,,,,,
Brod,Brody Brown,1,2,2,,,,,
Brun,Bruno Mars,1,2,2,,,,,
Cami,Camilla Anne Stewart,1,,,,,,,
Camil,Camila Cabello,1,1,10,,,,,
Cand,Candace Sosa,1,1,2,,,,,
Card,Cardi B,1,1,2,,,,,
Carl,Carl Rosen,1,2,2,,,,,
Caro,Caroline Ailin,1,1,10,,,,,
Cart,Carter Lang,1,2,,,,,,
Caut,Cautious Clay,1,2,2,,,,,
Cazz,Cazzi Opeia,1,1,9,,,,,
Chan,Changes by Justin Bieber,2,,,7,1,2020,16,
Chanc,Chance the Rapper,1,2,2,,,,,
Chel,Chelcee Grimes,1,1,1,,,,,
Chim,Chimey,1,,,,,,,
CHIME,CHI-MEY (JPN),1,2,,,,,,
Chris,Christofer Erixon,1,2,9,,,,,
ChrisJ,Chris Janey,1,,,,,,,
ChrisJa,Chris James,1,2,3,,,,,
ChrisS,Chris Stapleton,1,2,2,,,,,
Christ,Christian Lorenz,1,2,3,,,,,
Christo,Christoph Schneider,1,2,3,,,,,
Chuc,Chuck Berry,1,2,2,,,,,
Clar,Clarence Coffee Jr.,1,2,2,,,,,
Clev,Clever,1,2,2,,,,,
Clyd,Clyde Kelly,1,2,2,,,,,
Cosm,Cosmo's Midnight,1,2,10,,,,,
Cour,Courtney Sills,1,2,2,,,,,
CVRE,CVRE,1,2,7,,,,,
DaBa,DaBaby,1,2,2,,,,,
DaHe,DaHeala,1,2,7,,,,,
DanielC,Daniel Caesar (of Caesar & Loui),1,2,7,,,,,
DanielD,Daniel Daley,1,2,7,,,,,
dank,danke (lalala studio),1,2,10,,,,,
Dave,Dave,1,2,1,,,,,
Davi,David Bowie,1,2,1,,,,,
DavidB,David Biral,1,2,1,,,,,
