id,name,type,sex,origin,genre,language,year,tracks,second year
40,40,1,2,7,99,99,99,99,99
Aali,Aalias,1,2,2,99,99,99,99,99
AaronP,Aaron Pearce,1,2,99,99,99,99,99,99
AdamB,Adam Baptiste,1,2,9,99,99,99,99,99
AdamM,Adam Messinger,1,2,7,99,99,99,99,99
AdCa,Adam Cayton,1,2,10,99,99,99,99,99
Adel,Adele,1,1,1,99,99,99,99,99
Adon,Adonis,1,2,2,99,99,99,99,99
ADOR,ADORA,1,1,10,99,99,99,99,99
Adri,Adrienne Anderson,1,1,2,99,99,99,99,99
AdRo,Ad-Rock,1,2,2,99,99,99,99,99
AJJu,AJ Junior,1,2,9,99,99,99,99,99
AlanC,Alan Chang,1,2,2,99,99,99,99,99
AlanP,Alan Parsons,1,2,1,99,99,99,99,99
Albe,Albert Winkler,1,2,99,99,99,99,99,99
Albi,Albin Nedler,1,2,9,99,99,99,99,99
Alexa,Alexander Gowers,1,2,99,99,99,99,99,99
Alexda,Alex da Kid,1,2,1,99,99,99,99,99
AlexDel,Alex Delicata,1,2,2,99,99,99,99,99
AlexDez,Alex Dezen,1,2,2,99,99,99,99,99
AlHa,Alana Haim,1,1,2,99,99,99,99,99
Alja,Alja Jackson,1,1,99,99,99,99,99,99
AlKa,Allison Kaplan,1,1,2,99,99,99,99,99
AlKe,Alicia Keys,1,1,2,99,99,99,99,99
AlLe,Alice and the Glass Lake,1,1,2,99,99,99,99,99
AlMa,Alan Merrill,1,2,2,99,99,99,99,99
AlPa,Ali Payami,1,2,10,99,99,99,99,99
AlSa,Alex Salibian,1,2,2,99,99,99,99,99
AlSo,Alex Sowinski,1,2,7,99,99,99,99,99
AlTa,Ali Tamposi,1,1,2,99,99,99,99,99
Amad,Amadeus,1,2,2,99,99,99,99,99
AMcB,Amanda McBroom,1,1,2,99,99,99,99,99
Amir,Amir Amor,1,2,1,99,99,99,99,99
Amit,Amit Duvdevani,1,2,10,99,99,99,99,99
AmMa,Ammar Malik,1,2,2,99,99,99,99,99
Ammo,Ammo,1,2,2,99,99,99,99,99
AmyFo,Amy Foster-Gillies,1,1,7,99,99,99,99,99
AmyWa,Amy Wadge,1,1,1,99,99,99,99,99
AnAr,Antonina Armato,1,1,2,99,99,99,99,99
AnBr,Andre Brown,1,2,2,99,99,99,99,99
Andre3,André 3000,1,2,2,99,99,99,99,99
AndreL,Andre Lindal,1,2,10,99,99,99,99,99
AndrewCa,Andrew Canton,1,2,2,99,99,99,99,99
AndrewHa,Andrew Harr,1,2,2,99,99,99,99,99
AndrewTo,Andrew Tolman,1,2,2,99,99,99,99,99
AndrewWy,Andrew Wyatt,1,2,2,99,99,99,99,99
AngusY,Angus Young,1,2,1,99,99,99,99,99
AnJa,Andrew Jackson,1,2,1,99,99,99,99,99
Anju,Anjulie,1,1,7,99,99,99,99,99
AnLo,Angel López,1,2,2,99,99,99,99,99
AnTa,Andrew Taggart,1,2,2,99,99,99,99,99
AnthonyB,Anthony Best,1,2,2,99,99,99,99,99
AnthonyM,Anthony Moore,1,2,1,99,99,99,99,99
Anto,Antonio Dixon,1,2,2,99,99,99,99,99
AnWe,Annika Wells,1,1,2,99,99,99,99,99
AnWi,Anna Wise,1,1,2,99,99,99,99,99
Aoki,Steve Aoki,1,2,2,99,99,99,99,99
Arab,Arabian Prince,1,2,2,99,99,99,99,99
AriLe,Ari Levine,1,2,2,99,99,99,99,99
ArRe,Ariel Rechtshaid,1,2,2,99,99,99,99,99
ArtNe,Art Neville,1,2,2,99,99,99,99,99
AshF,Ashton Foster,1,1,2,99,99,99,99,99
AStr,A Strut,1,2,9,99,99,99,99,99
Augu,August Rigo,1,2,7,99,99,99,99,99
Avic,Avicii,1,2,9,99,99,99,99,99
Avri,Avril Lavigne,1,1,7,99,99,99,99,99
AyoT,Ayo The Producer,1,2,2,99,99,99,99,99
B.o.B,B.o.B,1,2,2,99,99,99,99,99
Baby,Babyface,1,2,2,99,99,99,99,99
Back,Backpack,1,2,2,99,99,99,99,99
Bang,Bangladesh,1,2,2,99,99,99,99,99
Bari,Baria Qureshi,1,1,1,99,99,99,99,99
BarryG,Barry Gibb,1,2,1,99,99,99,99,99
Bawh,Barry White,1,2,2,99,99,99,99,99
BeAn,Benny Andersson,1,2,9,99,99,99,99,99
Beat,BeatGeek,1,99,99,99,99,99,99,99
Bebe,Bebe Rexha,1,1,2,99,99,99,99,99
bebl,benny blanco,1,2,2,99,99,99,99,99
Beko,Bēkon,1,2,2,99,99,99,99,99
BenLo,Ben Lovett,1,2,1,99,99,99,99,99
BenMa,Ben Maddahi,1,2,2,99,99,99,99,99
BenMc,Ben McKee,1,2,2,99,99,99,99,99
BenWe,Ben West,1,2,2,99,99,99,99,99
BePa,Benj Pasek,1,2,2,99,99,99,99,99
Berr,Berry Gordy,1,2,2,99,99,99,99,99
BertK,Bert Kalmar,1,2,2,99,99,99,99,99
Beyonc,Beyoncé,1,1,2,99,99,99,99,99
BiCu,Bill Curtis,1,2,2,99,99,99,99,99
BigS,Big Sean,1,2,2,99,99,99,99,99
BillyHa,Billy Hayes,1,2,2,99,99,99,99,99
BillyMa,Billy Mann,1,2,2,99,99,99,99,99
BillySq,Billy Squier,1,2,2,99,99,99,99,99
Bird,Birdman,1,2,2,99,99,99,99,99
BjUl,Björn Ulvaeus,1,2,9,99,99,99,99,99
blac,blackbear,1,2,2,99,99,99,99,99
Bloods,Bloodshy,1,2,9,99,99,99,99,99
Blue,Blue Bear,1,2,1,99,99,99,99,99
BluJ,Blu June,1,1,2,99,99,99,99,99
Bobc,Bobcat,1,2,2,99,99,99,99,99
BobDy,Bob Dylan,1,2,2,99,99,99,99,99
BobRo,Bob Rock,1,2,7,99,99,99,99,99
BoCh,Bobby Chung,1,2,10,99,99,99,99,99
Boi1,Boi-1da,1,2,7,99,99,99,99,99
BoLa,Boris Lanneau,1,2,5,99,99,99,99,99
BONN,BONN,1,2,9,99,99,99,99,99
BonnieM,Bonnie McKee,1,1,2,99,99,99,99,99
Bono,Bono,1,2,10,99,99,99,99,99
BOOT,BOOTS,1,2,2,99,99,99,99,99
Bori,Boris Williams,1,2,5,99,99,99,99,99
Bran,"Brandon ""Blue"" Hamilton",1,2,2,99,99,99,99,99
BrBr,Brody Brown,1,2,2,99,99,99,99,99
BrGr,Brendan Grieve,1,2,1,99,99,99,99,99
BrianEn,Brian Eno,1,2,1,99,99,99,99,99
BrianKe,Brian Kennedy,1,2,2,99,99,99,99,99
BrianLe,Brian Lee,1,2,2,99,99,99,99,99
BrianS,Brian Soko,1,2,10,99,99,99,99,99
BrittanyT,Brittany Tolman,1,1,99,99,99,99,99,99
BrKo,Brock Korsan,1,2,2,99,99,99,99,99
BrMa,Bruno Mars,1,2,2,99,99,99,99,99
BryanAd,Bryan Adams,1,2,7,99,99,99,99,99
Buck,Buck Ram,1,2,2,99,99,99,99,99
BunB,Bun B,1,2,2,99,99,99,99,99
busb,busbee,1,2,2,99,99,99,99,99
Bust,Busta Rhymes,1,2,2,99,99,99,99,99
Butc,Butch Walker,1,2,2,99,99,99,99,99
CaFi,Canei Finch,1,2,2,99,99,99,99,99
CAGM,"Carl ""Groove"" Martin",1,2,2,99,99,99,99,99
Calv,Calvin Harris,1,2,1,99,99,99,99,99
Cam,Cam,1,1,2,99,99,99,99,99
Came,Camela Leierth,1,1,9,99,99,99,99,99
Cand,Candice Pillay,1,1,10,99,99,99,99,99
Card,Cardo,1,2,2,99,99,99,99,99
CarlF,Carl Falk,1,2,9,99,99,99,99,99
CarolinePo,Caroline Polachek,1,1,2,99,99,99,99,99
CarolynLe,Carolyn Leigh,1,1,2,99,99,99,99,99
CCar,C. Carson Parks,1,2,2,99,99,99,99,99
CharlesS,Charles Still,1,2,2,99,99,99,99,99
ChBr,Charles Bradley,1,2,2,99,99,99,99,99
Chec,Cheche Alara,1,2,10,99,99,99,99,99
ChHa,Chester Hansen,1,2,7,99,99,99,99,99
ChillyG,Chilly Gonzales,1,2,7,99,99,99,99,99
ChIn,Chin Injeti,1,2,10,99,99,99,99,99
ChJP,Charlie J. Perry,1,2,1,99,99,99,99,99
ChMe,Christian Medice,1,2,2,99,99,99,99,99
ChrisBec,Christophe Beck,1,2,7,99,99,99,99,99
ChrisBra,Chris Braide,1,2,1,99,99,99,99,99
ChrisBro,Chris Brown,1,2,2,99,99,99,99,99
ChrisCas,Chris Caswell,1,2,2,99,99,99,99,99
ChrisGod,Chris Godbey,1,2,2,99,99,99,99,99
ChrisIv,Chris Ivery,1,2,2,99,99,99,99,99
ChrisMar,Chris Martin,1,2,1,99,99,99,99,99
Chuc,Chucky Thompson,1,2,2,99,99,99,99,99
Cirk,Cirkut,1,2,7,99,99,99,99,99
Clau,Claude Kelly,1,2,2,99,99,99,99,99
Clay,Clay Wells Holley,1,2,99,99,99,99,99,99
Clin,Clinton Sparks,1,2,2,99,99,99,99,99
ClintBa,Clint Ballard,1,2,2,99,99,99,99,99
ClSm,Claydes Smith,1,2,2,99,99,99,99,99
CoMa,Conor Maynard,1,2,1,99,99,99,99,99
Cool,Cool,1,2,2,99,99,99,99,99
Core,Corey Gibson,1,2,99,99,99,99,99,99
Cory,Cory Gunz,1,2,2,99,99,99,99,99
CoyP,Coy Poe,1,2,2,99,99,99,99,99
Craz,Crazy J,1,99,99,99,99,99,99,99
Crys,Crystal Nicole,1,1,2,99,99,99,99,99
Cyri,Cyril Neville,1,2,2,99,99,99,99,99
DaBr,Dan Bryer,1,2,1,99,99,99,99,99
DaBy,David Byron,1,2,1,99,99,99,99,99
DaGu,Dave Guy,1,2,2,99,99,99,99,99
DaHa,Danielle Haim,1,1,2,99,99,99,99,99
Dami,Damian Marley,1,2,10,99,99,99,99,99
Damo,Damon Thomas,1,2,2,99,99,99,99,99
DanHe,Dan Heath,1,2,99,99,99,99,99,99
DaniaMaBi,Dania Maria Birks,1,1,2,99,99,99,99,99
DanielPl,Daniel Platzman,1,2,2,99,99,99,99,99
DanKa,Dan Kanter,1,2,7,99,99,99,99,99
DannyJo,Danny Jones,1,2,1,99,99,99,99,99
DannyW,Danny Wilson,1,2,1,99,99,99,99,99
DanRe,Dan Reynolds,1,2,2,99,99,99,99,99
DanWi,Dan Wilson,1,2,2,99,99,99,99,99
DaPe,Darryl Pearson,1,2,2,99,99,99,99,99
DaPr,Dan Priddy,1,2,1,99,99,99,99,99
Darr,Darren Black,1,2,1,99,99,99,99,99
DarylBr,Daryl Braithwaite,1,2,8,99,99,99,99,99
DaTo,Dado Topić,1,2,10,99,99,99,99,99
DavidBo,David Bowie,1,2,1,99,99,99,99,99
DavidBr,David Brook,1,99,99,99,99,99,99,99
DavidFo,David Foster,1,2,7,99,99,99,99,99
DavidGi,David Gilmour,1,2,1,99,99,99,99,99
DavidGu,David Guetta,1,2,5,99,99,99,99,99
DavidSc,David Schuler,1,2,2,99,99,99,99,99
DavidSn,David Sneddon,1,2,1,99,99,99,99,99
DaWa,Dale Warren,1,2,2,99,99,99,99,99
DDre,Dr. Dre,1,2,2,99,99,99,99,99
DDRo,Don D. Robey,1,2,2,99,99,99,99,99
DDTT,"Dennis ""D.T."" Thomas",1,2,2,99,99,99,99,99
Deke,Deke Richards,1,2,2,99,99,99,99,99
DemJ,Dem Jointz,1,2,2,99,99,99,99,99
dEnA,dEnAun,1,2,2,99,99,99,99,99
Denn,"Dennis ""Aganee"" Jenkins",1,2,2,99,99,99,99,99
DennisLu,Dennis Lussier,1,2,2,99,99,99,99,99
Deta,Detail,1,2,2,99,99,99,99,99
Dick,Dick Smith,1,2,2,99,99,99,99,99
Dino,Dino Zisis,1,2,99,99,99,99,99,99
Dipl,Diplo,1,2,2,99,99,99,99,99
DJBu,DJ Burton,1,2,2,99,99,99,99,99
DJDa,DJ Dahi,1,2,2,99,99,99,99,99
DJFa,DJ Falcon,1,2,5,99,99,99,99,99
DJKh,DJ Khalil,1,2,2,99,99,99,99,99
DJLo,DJ Locksmith,1,2,1,99,99,99,99,99
DJSn,DJ Snake,1,2,5,99,99,99,99,99
DJSw,DJ Swivel,1,2,7,99,99,99,99,99
DJWh,DJ White Shadow,1,2,2,99,99,99,99,99
DMC,D.M.C.,1,2,2,99,99,99,99,99
DMcK,Damian McKee,1,2,1,99,99,99,99,99
DOCS,DOCSKIM,1,2,10,99,99,99,99,99
DoJo,Dominic Jordan,1,2,2,99,99,99,99,99
DORi,Dolores O’Riordan,1,1,10,99,99,99,99,99
DougEF,Doug E. Fresh,1,2,2,99,99,99,99,99
DougiePo,Dougie Poynter,1,2,1,99,99,99,99,99
Dove,Doveman,1,2,2,99,99,99,99,99
Dr.Lu,Dr. Luke,1,2,2,99,99,99,99,99
Drak,Drake,1,2,7,99,99,99,99,99
Dre,Dre,1,2,2,99,99,99,99,99
DreM,Dre Moon,1,2,2,99,99,99,99,99
DVLP,DVLP,1,2,2,99,99,99,99,99
DwSi,Dwayne Simon,1,2,2,99,99,99,99,99
DYSO,DYSON,1,1,1,99,99,99,99,99
EaMu,Eamon Murray,1,2,1,99,99,99,99,99
EaSh,Earl Shelton,1,2,2,99,99,99,99,99
Eddi,"Eddie ""Krack Keys"" Montilla",1,2,2,99,99,99,99,99
EdDr,Ed Drewett,1,2,1,99,99,99,99,99
EdSh,Ed Sheeran,1,2,1,99,99,99,99,99
EgWh,Eg White,1,2,1,99,99,99,99,99
Elij,Elijah Blake,1,2,10,99,99,99,99,99
Elli,Ellie Greenwich,1,1,2,99,99,99,99,99
Elof,Elof Loelv,1,2,9,99,99,99,99,99
ElvinBi,Elvin Bishop,1,2,2,99,99,99,99,99
ElvinSm,Elvin Smith,1,2,1,99,99,99,99,99
EmeliSa,Emeli Sandé,1,1,1,99,99,99,99,99
EmHa,Emile Haynie,1,2,2,99,99,99,99,99
Emin,Eminem,1,2,2,99,99,99,99,99
ErAl,Erik Alcock,1,2,7,99,99,99,99,99
ErBo,Erik Bodin,1,2,9,99,99,99,99,99
Erez,Erez Eisen,1,2,10,99,99,99,99,99
EricBe,Eric Bellinger,1,2,2,99,99,99,99,99
EricCa,Eric Carmen,1,2,2,99,99,99,99,99
EricDa,Eric Dawkins,1,2,2,99,99,99,99,99
EricSt,Eric Stewart,1,2,1,99,99,99,99,99
EricWo,Eric Woolfson,1,2,1,99,99,99,99,99
ErikRe,Erik Reyes-Ortiz,1,2,2,99,99,99,99,99
ErMc,Eric McIntosh,1,2,2,99,99,99,99,99
Erne,Ernest Clark,1,2,2,99,99,99,99,99
ErSe,Erick Sermon,1,2,2,99,99,99,99,99
Eske,Eskeerdo,1,2,2,99,99,99,99,99
Este,Ester Dean,1,1,2,99,99,99,99,99
Feli,Felix Bernard,1,2,2,99,99,99,99,99
Fern,Fernando Garibay,1,2,2,99,99,99,99,99
Fion,Fiona Bevan,1,1,1,99,99,99,99,99
Flip,Flippa,1,2,99,99,99,99,99,99
Fonc,Fonce Mizell,1,2,2,99,99,99,99,99
FoVa,Foy Vance,1,2,1,99,99,99,99,99
Franc,François De Roubaix,1,2,5,99,99,99,99,99
FrankL,Frank Loesser,1,2,2,99,99,99,99,99
FrankOc,Frank Ocean,1,2,2,99,99,99,99,99
FranzS,Franz Schubert,1,2,10,99,99,99,99,99
FranzX,Franz Xaver Gruber,1,2,4,99,99,99,99,99
Fras,Fraser T. Smith,1,2,1,99,99,99,99,99
FrBa,Fred Ball,1,2,10,99,99,99,99,99
FrCo,Frederick Cox,1,2,1,99,99,99,99,99
FreddiePe,Freddie Perren,1,2,2,99,99,99,99,99
Freq,Frequency,1,2,2,99,99,99,99,99
FrFa,Fred Fairbrass,1,2,1,99,99,99,99,99
Frod,Frode Fjellheim,1,2,10,99,99,99,99,99
FrWa,Fredrik Wallin,1,2,9,99,99,99,99,99
FrWr,FredWreck,1,2,10,99,99,99,99,99
Futu,Future,1,2,2,99,99,99,99,99
GaDe,Gaye Delorme,1,2,7,99,99,99,99,99
Gare,Gareth McGrillen,1,2,8,99,99,99,99,99
Garl,Garland Sebastian Mosley,1,2,2,99,99,99,99,99
GarthPo,Garth Porter,1,2,10,99,99,99,99,99
GaryLi,Gary Lightbody,1,2,1,99,99,99,99,99
GeBr,George Brown,1,2,2,99,99,99,99,99
Geof,Geoff Mack,1,2,8,99,99,99,99,99
GeorgeNo,George Nozuka,1,2,2,99,99,99,99,99
GeorgePo,George Porter Jr,1,2,2,99,99,99,99,99
GeorgH,Georg Hólm,1,2,10,99,99,99,99,99
GeRe,Gene Redd,1,2,2,99,99,99,99,99
GeSa,Geoffrey Sarubbi,1,2,2,99,99,99,99,99
GeWi,George Williams,1,2,2,99,99,99,99,99
GianPi,Gian Piero Reverberi,1,2,6,99,99,99,99,99
GiorgioMo,Giorgio Moroder,1,2,6,99,99,99,99,99
GiorgioTu,Giorgio Tuinfort,1,2,10,99,99,99,99,99
