id,name,type,sex,origin,genre,language,year,second year,tracks
AdCa,Adam Cayton,1,2,10,NA,NA,NA,NA,NA
ADOR,ADORA,1,1,10,NA,NA,NA,NA,NA
AdRo,Ad-Rock,1,2,2,NA,NA,NA,NA,NA
AldK,Alex da Kid,1,2,1,NA,NA,NA,NA,NA
AlHa,Alana Haim,1,1,2,NA,NA,NA,NA,NA
AlKa,Allison Kaplan,1,1,2,NA,NA,NA,NA,NA
AlKe,Alicia Keys,1,1,2,NA,NA,NA,NA,NA
AlLe,Alice and the Glass Lake,1,1,2,NA,NA,NA,NA,NA
AlMa,Alan Merrill,1,2,2,NA,NA,NA,NA,NA
AlPa,Ali Payami,1,2,10,NA,NA,NA,NA,NA
AlSa,Alex Salibian,1,2,2,NA,NA,NA,NA,NA
AlSo,Alex Sowinski,1,2,7,NA,NA,NA,NA,NA
AlTa,Ali Tamposi,1,1,2,NA,NA,NA,NA,NA
AMcB,Amanda McBroom,1,1,2,NA,NA,NA,NA,NA
AmMa,Ammar Malik,1,2,2,NA,NA,NA,NA,NA
AmWa,Amy Wadge,1,1,1,NA,NA,NA,NA,NA
AnAr,Antonina Armato,1,1,2,NA,NA,NA,NA,NA
AnBr,Andre Brown,1,2,2,NA,NA,NA,NA,NA
AnJa,Andrew Jackson,1,2,1,NA,NA,NA,NA,NA
AnLo,Angel López,1,2,2,NA,NA,NA,NA,NA
AnTa,Andrew Taggart,1,2,2,NA,NA,NA,NA,NA
AnWe,Annika Wells,1,1,2,NA,NA,NA,NA,NA
AnWi,Anna Wise,1,1,2,NA,NA,NA,NA,NA
Aoki,Steve Aoki,1,2,2,NA,NA,NA,NA,NA
ArRe,Ariel Rechtshaid,1,2,2,NA,NA,NA,NA,NA
AshF,Ashton Foster,1,1,2,NA,NA,NA,NA,NA
AStr,A Strut,1,2,9,NA,NA,NA,NA,NA
Baby,Babyface,1,2,2,NA,NA,NA,NA,NA
Back,Backpack,1,2,2,NA,NA,NA,NA,NA
Bang,hitman Bang,1,2,10,NA,NA,NA,NA,NA
Bawh,Barry White,1,2,2,NA,NA,NA,NA,NA
BeAn,Benny Andersson,1,2,9,NA,NA,NA,NA,NA
bebl,benny blanco,1,2,2,NA,NA,NA,NA,NA
