from,to,weight,relation,participation,count
AaronD,folk,3,1,5,9
AaronR,ASta,1,1,3,3
Aboo,NosixC,1,3,1,1
Adam,Chan,1,1,1,1
ADNL,MAPOsev,1,1,1,1
ADOR,MAPO,1,1,1,1
ADOR,MAPOsev,1,1,1,2
AhnB,MAPOsev,1,1,1,1
AKJa,fivextwenty,1,1,1,2
AlDa,Chan,1,1,1,1
Alex,MAPOsev,1,1,1,1
Alexe,MAPOsev,1,1,1,1
AliT,Futu,1,1,1,1
Alli,MAPOsev,1,1,1,1
AmyA,Fine,1,1,1,1
Ande,fivextwenty,1,1,1,1
Ander,fivextwenty,1,1,1,1
Andr,fivextwenty,1,1,1,1
Andre,NosixC,1,1,1,1
AndrewF,Futu,1,1,1,1
AndrewW,ASta,1,1,1,1
Anth,ASta,1,1,1,1
Antho,Holl,1,1,1,1
Anto,BE,1,1,1,1
Anto,MAPOsev,3,1,3,4
ARAS,fivextwenty,1,2,1,2
Aria,Than,5,2,7,12
Arst,BE,1,1,1,1
AshleyB,Chan,1,1,3,3
AshleyJ,Chan,1,1,1,2
ASIL,fivextwenty,1,1,1,2
Audi,MAPOsev,1,1,1,1
Augu,MAPOsev,1,1,3,3
Ayum,fivextwenty,1,1,1,1
Bard,NosixC,1,1,1,1
Bell,Afte,3,1,5,7
Beng,MAPO,1,1,1,1
Beng,MAPOsev,1,1,1,1
BenK,Futu,1,1,1,1
benn,NosixC,1,1,1,1
Bern,Afte,1,1,1,1
BigB,NosixC,1,1,1,1
Bill,Chan,1,1,1,1
Bill,WHEN,5,2,7,12
Billy,Holl,5,1,7,15
Bing,Futu,1,1,1,1
BJKh,fivextwenty,1,1,1,1
Bloo,Holl,1,1,1,1
BluJ,Than,1,1,1,1
Bobb,MAPO,1,1,1,1
Bobb,MAPOsev,1,1,1,1
Boione,Chan,1,1,1,1
Boione,NosixC,1,1,1,1
Brad,ASta,3,2,3,4
Bram,MAPOsev,1,1,1,1
Bren,Love,1,3,1,1
BrianL,Holl,1,1,3,3
BrianM,Bohe,3,2,5,9
BrianMa,Than,1,1,1,1
Brit,Than,1,1,1,1
Brod,NosixC,1,1,1,1
Brun,NosixC,1,3,1,1
Cami,MAPO,1,1,1,1
Cami,MAPOsev,1,1,1,1
Camil,NosixC,1,3,1,1
Cand,MAPO,1,1,1,1
Cand,MAPOsev,1,1,1,2
Card,NosixC,1,3,1,1
Carl,Holl,1,1,1,2
Caro,Futu,1,1,1,2
Cart,Holl,1,1,1,2
Caut,Love,1,1,1,1
Cazz,MAPOsev,1,1,1,1
Chanc,NosixC,1,3,1,1
Chel,Futu,1,1,1,1
Chim,fivextwenty,1,1,1,1
CHIME,fivextwenty,1,1,1,1
Chris,fivextwenty,1,1,1,2
ChrisJ,fivextwenty,1,1,3,3
ChrisJa,BE,1,1,1,1
ChrisS,NosixC,1,3,1,1
Christ,Ramm,5,2,7,11
Christo,Ramm,5,2,7,11
Chuc,Abbe,1,1,1,1
Clar,Futu,3,1,3,4
Clev,Chan,1,3,1,1
Clyd,MAPOsev,1,1,1,1
Cosm,BE,1,1,1,1
Cour,Chan,1,1,1,1
CVRE,Chan,1,1,1,1
DaBa,Holl,1,3,1,1
DaHe,Afte,3,1,5,6
DanielC,MAPOsev,1,1,1,1
DanielD,Chan,1,1,1,1
dank,MAPOsev,1,1,1,1
Dave,NosixC,1,3,1,1
Davi,Bohe,1,3,1,1
DavidB,Futu,1,1,1,1
DavidS,BE,1,1,1,1
Denz,Futu,1,1,1,1
Derr,Chan,1,1,3,3
Dian,ASta,1,1,1,1
Digi,Chan,1,1,1,1
DJDa,Holl,1,1,1,1
DJSw,MAPO,1,1,1,1
DJSw,MAPOsev,1,1,1,2
DJWh,ASta,3,1,5,6
Domi,Chan,2,1,3,4
DreM,Afte,1,1,1,1
DuaL,Futu,5,2,7,11
Dyce,fivextwenty,1,1,3,3
DYSO,MAPO,1,1,1,1
Edit,ASta,1,1,1,1
EdSh,MAPO,1,1,1,1
EdSh,MAPOsev,1,1,1,1
EdSh,NosixC,5,2,7,15
ELCA,BE,1,1,1,1
ELCA,MAPOsev,1,1,1,2
Ella,NosixC,1,3,1,1
Elle,MAPOsev,1,1,1,1
Elli,MAPOsev,1,1,1,1
Eloh,MAPOsev,1,1,1,1
Elto,Afte,1,1,1,1
Eltv,fivextwenty,1,1,3,4
Emil,MAPO,1,1,1,1
Emil,MAPOsev,1,1,1,1
Emile,Holl,1,1,1,1
Emily,Futu,1,1,1,1
Emin,NosixC,1,3,1,1
Etta,MAPOsev,1,1,1,1
Fall,MAPOsev,1,1,1,1
Fars,Holl,1,1,1,1
Fath,Holl,1,1,1,1
fiftyCe,NosixC,1,3,1,1
FINN,WHEN,5,1,7,14
Fran,Afte,1,1,1,1
Fran,Holl,3,1,5,6
Fran,Love,1,1,3,3
Franc,Futu,1,1,1,1
Frank,NosixC,1,1,1,1
Fred,MAPO,1,1,1,1
Fred,MAPOsev,1,1,1,1
Fred,NosixC,5,1,7,10
FredB,Than,1,1,1,1
Fredd,Bohe,3,2,7,11
Fredr,fivextwenty,1,1,1,1
Fredri,fivextwenty,1,1,1,1
Fumi,fivextwenty,1,1,1,1
Fura,fivextwenty,1,1,1,1
FuT,fivextwenty,1,1,1,1
Future,Holl,1,3,1,1
Geor,Abbe,1,2,1,2
GHST,BE,1,1,1,1
GHST,MAPOsev,1,1,1,1
Gigi,fivextwenty,1,1,1,1
GIRL,MAPOsev,1,1,1,1
Goro,fivextwenty,1,1,1,1
Gran,NosixC,1,1,1,1
GregK,Fine,1,1,1,1
GregM,NosixC,1,1,1,1
Gust,MAPOsev,1,1,1,1
Hals,Holl,1,3,1,1
Hals,MAPO,1,3,1,1
Hals,MAPOsev,1,3,1,1
Happ,Holl,1,1,1,1
Happ,Than,3,1,3,3
Harr,Fine,5,2,7,12
HARV,Chan,2,1,3,4
HER,NosixC,1,3,1,1
HIKA,fivextwenty,1,1,1,1
Hild,MAPOsev,1,1,1,1
Hill,ASta,1,1,1,2
Hiro,fivextwenty,1,1,1,2
Hiss,BE,3,1,1,2
Hiss,MAPO,1,1,1,1
Hiss,MAPOsev,3,1,3,4
hitm,MAPO,3,1,1,2
hitm,MAPOsev,1,1,3,3
hs,fivextwenty,1,1,1,1
HSuz,fivextwenty,1,1,1,1
Hund,fivextwenty,1,1,5,5
HYDR,fivextwenty,1,1,3,3
HYPE,fivextwenty,1,1,1,1
IanK,Futu,1,1,1,1
Icec,MAPOsev,1,1,1,1
iiSA,fivextwenty,1,1,3,3
Illa,Afte,3,1,5,7
Ilse,Fine,1,1,1,1
ILYA,Than,3,1,3,4
Irvi,Futu,1,1,1,1
Ishu,fivextwenty,1,1,1,1
Ivan,BE,1,1,1,1
Jack,folk,3,1,3,4
Jack,Love,3,1,5,8
Jaha,Holl,1,1,1,1
Jaha,NosixC,1,1,1,1
Jame,MAPOsev,1,1,1,1
JasonE,Futu,1,1,1,1
JasonI,ASta,1,1,1,1
JaVa,Chan,1,1,1,2
Jayr,MAPOsev,1,1,1,1
JeffBh,Fine,3,1,3,3
JeffBh,Futu,1,1,1,1
Jess,Holl,1,1,1,1
Jess,MAPOsev,1,1,1,1
Jessi,BE,1,1,1,1
jhop,BE,5,2,3,5
jhop,MAPO,5,2,5,6
jhop,MAPOsev,3,2,7,10
JHus,NosixC,1,3,1,1
Jimi,BE,3,2,1,2
Jimi,MAPOsev,1,2,1,1
Jimm,Chan,2,1,3,4
JIN,BE,3,2,1,2
JIN,MAPOsev,1,2,1,1
Joak,fivextwenty,1,1,1,1
JoeA,folk,1,1,1,2
JoeF,BE,1,1,1,1
Joel,Love,3,1,3,4
JoeR,NosixC,1,1,1,1
JoHi,MAPO,1,1,1,1
JoHi,MAPOsev,1,1,1,1
JohnD,Bohe,1,2,3,4
JohnL,Abbe,5,2,7,14
JohnW,fivextwenty,1,1,1,1
Jord,Futu,1,1,1,1
Jose,Than,1,1,1,1
JoshuaG,Chan,1,1,1,2
JoshuaW,Chan,1,1,1,1
JPro,Than,3,1,1,2
JTCu,NosixC,1,1,1,1
JuliaM,ASta,1,1,1,1
JuliaM,Futu,1,1,1,1
JuliaR,MAPO,1,1,1,1
JuliaR,MAPOsev,1,1,1,2
July,MAPOsev,1,1,1,1
Jung,BE,3,2,3,3
Jung,MAPOsev,1,2,1,1
Juni,fivextwenty,1,1,1,1
JustinB,Chan,5,2,7,16
JustinB,NosixC,1,3,1,1
JustinT,ASta,1,1,1,1
